  edge_min  pair_min  balls  edges  path
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_28_24a8d9bc99.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_29_de6adacc80.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_30_f1d39a397c.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_31_3309702dc5.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_32_c9355e379c.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_33_29fe0c07e2.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_34_0201baf7a3.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_35_4525a9d7e3.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_36_971ff6c446.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_37_8698d8421a.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_38_e3b9993e75.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_39_7f30f14d84.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_40_b8aef3d92d.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_41_e4e29df04c.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_42_5e88217dbf.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_43_964659815b.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_44_c3a40f59b5.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_45_599fed7617.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_46_82a087d896.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_47_45ba58888b.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_48_57be3803dc.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_49_00512c47fe.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_50_9e2e193e49.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_51_1d7039d2db.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_52_910cfbbb72.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_53_b449d80f39.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_54_1a5d8c0939.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_55_17cdeb648d.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_56_a10a98bf75.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_57_0f6eecdb02.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_58_1871656b77.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_59_4604d6d605.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_60_f4b0068c4e.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_61_27009422bf.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_62_1870420905.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_63_a8e2a61deb.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_64_d5f606a226.vZome
    10.705    10.705     96    204  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_00_94c404ee6a.vZome
    23.511     9.443    120    240  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_01_9f73b85175.vZome
    23.511    13.232    120    240  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_02_9f354d53ae.vZome
    23.511    13.232    120    240  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_03_38f25a2cbb.vZome
    13.232    13.232     60    108  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_04_c94790ed91.vZome
    23.511     9.443    120    240  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_05_e4fb66f8e7.vZome
    23.511     9.443    120    240  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_06_991048cd4e.vZome
    23.511     9.443    120    240  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_07_600bccb09e.vZome
    23.511    13.232    120    240  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_08_9028dd62eb.vZome
    23.511    13.232    120    240  output/wythoff_sweep\omnitruncated_5-cell\A4_1111_09_6d9784faf4.vZome
     9.960     9.960    640   1800  output/wythoff_sweep\rectified_120-cell\H4_0100_00_49633284a3.vZome
    16.115     9.069     96    288  output/wythoff_sweep\rectified_24-cell\F4_0100_02_56df31592c.vZome
    16.115     9.069     96    288  output/wythoff_sweep\rectified_24-cell\F4_0100_03_56093e7cd7.vZome
    16.115     9.069     96    288  output/wythoff_sweep\rectified_24-cell\F4_0100_04_1915a4f1b2.vZome
    10.705    10.705     10     30  output/wythoff_sweep\rectified_5-cell\A4_0100_00_18db22bc8b.vZome
    14.531    13.232     10     30  output/wythoff_sweep\rectified_5-cell\A4_0100_01_c2ff97e546.vZome
